INSERT INTO `orders` (`customer_id`, `customer_name`, `material_id`, `phone`, `email`, `address`, `quantity`, `time`) VALUES (14, 'Person 1', 3, '0710000000', 'p1@gmail.com', 'Address 1', 17, '2024-05-21 00:07:48'),
(14, 'Person 1', 8, '0710000000', 'p1@gmail.com', 'Address 1', 1, '2023-05-30 00:46:18'),
(17, 'Person 4', 16, '0740000000', 'p4@gmail.com', 'Address 4', 50, '2024-09-01 03:24:16'),
(16, 'Person 3', 14, '0730000000', 'p3@gmail.com', 'Address 3', 18, '2024-03-27 04:16:37'),
(15, 'Person 2', 5, '0720000000', 'p2@gmail.com', 'Address 2', 10, '2024-05-07 05:47:36'),
(14, 'Person 1', 5, '0710000000', 'p1@gmail.com', 'Address 1', 51, '2023-10-03 06:52:49'),
(16, 'Person 3', 4, '0730000000', 'p3@gmail.com', 'Address 3', 51, '2024-08-25 22:12:05'),
(17, 'Person 4', 14, '0740000000', 'p4@gmail.com', 'Address 4', 93, '2024-05-31 05:34:40'),
(15, 'Person 2', 4, '0720000000', 'p2@gmail.com', 'Address 2', 98, '2023-03-26 12:10:06'),
(14, 'Person 1', 7, '0710000000', 'p1@gmail.com', 'Address 1', 53, '2023-01-19 00:08:29'),
(16, 'Person 3', 8, '0730000000', 'p3@gmail.com', 'Address 3', 100, '2024-03-02 03:52:04'),
(16, 'Person 3', 16, '0730000000', 'p3@gmail.com', 'Address 3', 30, '2023-01-15 11:25:30'),
(17, 'Person 4', 3, '0740000000', 'p4@gmail.com', 'Address 4', 10, '2023-10-28 12:30:25'),
(14, 'Person 1', 8, '0710000000', 'p1@gmail.com', 'Address 1', 70, '2023-04-24 18:48:41'),
(16, 'Person 3', 16, '0730000000', 'p3@gmail.com', 'Address 3', 13, '2023-12-20 12:38:15'),
(14, 'Person 1', 3, '0710000000', 'p1@gmail.com', 'Address 1', 4, '2024-08-10 20:04:59'),
(16, 'Person 3', 6, '0730000000', 'p3@gmail.com', 'Address 3', 48, '2023-05-27 15:47:01'),
(17, 'Person 4', 6, '0740000000', 'p4@gmail.com', 'Address 4', 84, '2023-08-17 11:26:22'),
(16, 'Person 3', 14, '0730000000', 'p3@gmail.com', 'Address 3', 63, '2023-11-23 21:39:34'),
(14, 'Person 1', 10, '0710000000', 'p1@gmail.com', 'Address 1', 9, '2023-07-04 19:35:29'),
(14, 'Person 1', 12, '0710000000', 'p1@gmail.com', 'Address 1', 48, '2023-02-06 02:54:56'),
(14, 'Person 1', 10, '0710000000', 'p1@gmail.com', 'Address 1', 35, '2023-10-08 17:22:40'),
(17, 'Person 4', 13, '0740000000', 'p4@gmail.com', 'Address 4', 52, '2023-08-12 20:23:23'),
(16, 'Person 3', 10, '0730000000', 'p3@gmail.com', 'Address 3', 45, '2024-03-19 10:05:56'),
(14, 'Person 1', 10, '0710000000', 'p1@gmail.com', 'Address 1', 37, '2023-03-31 05:20:32'),
(17, 'Person 4', 15, '0740000000', 'p4@gmail.com', 'Address 4', 19, '2024-03-03 20:13:01'),
(17, 'Person 4', 3, '0740000000', 'p4@gmail.com', 'Address 4', 28, '2024-07-02 11:25:07'),
(14, 'Person 1', 6, '0710000000', 'p1@gmail.com', 'Address 1', 39, '2024-05-14 22:33:15'),
(16, 'Person 3', 11, '0730000000', 'p3@gmail.com', 'Address 3', 36, '2023-03-06 14:05:37'),
(17, 'Person 4', 10, '0740000000', 'p4@gmail.com', 'Address 4', 10, '2024-03-25 22:28:18'),
(15, 'Person 2', 5, '0720000000', 'p2@gmail.com', 'Address 2', 91, '2023-03-18 17:06:22'),
(17, 'Person 4', 16, '0740000000', 'p4@gmail.com', 'Address 4', 93, '2023-01-01 06:48:19'),
(17, 'Person 4', 3, '0740000000', 'p4@gmail.com', 'Address 4', 51, '2023-12-20 21:03:18'),
(15, 'Person 2', 4, '0720000000', 'p2@gmail.com', 'Address 2', 73, '2024-06-07 08:03:22'),
(16, 'Person 3', 2, '0730000000', 'p3@gmail.com', 'Address 3', 20, '2024-10-02 03:18:00'),
(16, 'Person 3', 16, '0730000000', 'p3@gmail.com', 'Address 3', 27, '2024-03-25 20:28:52'),
(16, 'Person 3', 12, '0730000000', 'p3@gmail.com', 'Address 3', 85, '2024-09-04 08:15:24'),
(14, 'Person 1', 16, '0710000000', 'p1@gmail.com', 'Address 1', 34, '2024-03-28 02:56:29'),
(15, 'Person 2', 12, '0720000000', 'p2@gmail.com', 'Address 2', 2, '2023-01-12 10:06:51'),
(14, 'Person 1', 2, '0710000000', 'p1@gmail.com', 'Address 1', 24, '2024-10-02 07:24:16'),
(16, 'Person 3', 4, '0730000000', 'p3@gmail.com', 'Address 3', 75, '2024-01-30 03:19:01'),
(14, 'Person 1', 15, '0710000000', 'p1@gmail.com', 'Address 1', 88, '2024-03-16 21:36:30'),
(16, 'Person 3', 2, '0730000000', 'p3@gmail.com', 'Address 3', 52, '2023-01-07 07:02:04'),
(16, 'Person 3', 10, '0730000000', 'p3@gmail.com', 'Address 3', 58, '2023-12-31 17:42:21'),
(16, 'Person 3', 14, '0730000000', 'p3@gmail.com', 'Address 3', 91, '2024-02-12 10:56:08'),
(17, 'Person 4', 8, '0740000000', 'p4@gmail.com', 'Address 4', 63, '2024-08-09 05:22:20'),
(14, 'Person 1', 3, '0710000000', 'p1@gmail.com', 'Address 1', 11, '2023-10-18 06:23:01'),
(16, 'Person 3', 6, '0730000000', 'p3@gmail.com', 'Address 3', 71, '2024-03-28 04:55:12'),
(17, 'Person 4', 16, '0740000000', 'p4@gmail.com', 'Address 4', 64, '2024-12-04 13:19:46'),
(15, 'Person 2', 14, '0720000000', 'p2@gmail.com', 'Address 2', 78, '2023-01-08 05:17:00'),
(15, 'Person 2', 5, '0720000000', 'p2@gmail.com', 'Address 2', 54, '2024-04-15 16:24:39'),
(17, 'Person 4', 11, '0740000000', 'p4@gmail.com', 'Address 4', 46, '2023-07-22 14:29:28'),
(16, 'Person 3', 3, '0730000000', 'p3@gmail.com', 'Address 3', 63, '2024-01-11 18:31:13'),
(14, 'Person 1', 5, '0710000000', 'p1@gmail.com', 'Address 1', 40, '2024-04-01 20:27:25'),
(16, 'Person 3', 7, '0730000000', 'p3@gmail.com', 'Address 3', 69, '2023-05-19 23:41:17'),
(14, 'Person 1', 10, '0710000000', 'p1@gmail.com', 'Address 1', 45, '2023-08-16 16:56:17'),
(16, 'Person 3', 3, '0730000000', 'p3@gmail.com', 'Address 3', 42, '2023-12-01 05:39:29'),
(16, 'Person 3', 3, '0730000000', 'p3@gmail.com', 'Address 3', 48, '2024-01-22 22:05:30'),
(16, 'Person 3', 15, '0730000000', 'p3@gmail.com', 'Address 3', 7, '2024-04-12 05:59:14'),
(14, 'Person 1', 3, '0710000000', 'p1@gmail.com', 'Address 1', 95, '2023-05-27 10:32:43'),
(16, 'Person 3', 10, '0730000000', 'p3@gmail.com', 'Address 3', 4, '2023-02-16 00:08:37'),
(16, 'Person 3', 8, '0730000000', 'p3@gmail.com', 'Address 3', 46, '2024-04-25 00:02:42'),
(14, 'Person 1', 16, '0710000000', 'p1@gmail.com', 'Address 1', 93, '2023-12-25 09:39:25'),
(16, 'Person 3', 16, '0730000000', 'p3@gmail.com', 'Address 3', 68, '2023-08-10 20:19:46'),
(16, 'Person 3', 13, '0730000000', 'p3@gmail.com', 'Address 3', 59, '2024-09-17 07:41:21'),
(16, 'Person 3', 10, '0730000000', 'p3@gmail.com', 'Address 3', 91, '2023-02-22 20:40:09'),
(16, 'Person 3', 13, '0730000000', 'p3@gmail.com', 'Address 3', 66, '2023-02-28 16:13:09'),
(14, 'Person 1', 5, '0710000000', 'p1@gmail.com', 'Address 1', 96, '2023-09-23 09:08:00'),
(14, 'Person 1', 8, '0710000000', 'p1@gmail.com', 'Address 1', 62, '2023-10-03 03:56:31'),
(14, 'Person 1', 12, '0710000000', 'p1@gmail.com', 'Address 1', 57, '2023-08-04 18:22:13'),
(17, 'Person 4', 12, '0740000000', 'p4@gmail.com', 'Address 4', 93, '2024-08-02 17:54:18'),
(14, 'Person 1', 13, '0710000000', 'p1@gmail.com', 'Address 1', 57, '2023-03-02 12:59:51'),
(17, 'Person 4', 13, '0740000000', 'p4@gmail.com', 'Address 4', 47, '2024-11-11 10:42:20'),
(17, 'Person 4', 16, '0740000000', 'p4@gmail.com', 'Address 4', 96, '2024-03-29 10:38:30'),
(16, 'Person 3', 15, '0730000000', 'p3@gmail.com', 'Address 3', 41, '2023-09-27 20:20:48'),
(17, 'Person 4', 3, '0740000000', 'p4@gmail.com', 'Address 4', 35, '2024-01-14 16:45:04'),
(17, 'Person 4', 16, '0740000000', 'p4@gmail.com', 'Address 4', 49, '2024-02-06 10:04:08'),
(14, 'Person 1', 5, '0710000000', 'p1@gmail.com', 'Address 1', 28, '2023-09-25 12:22:10'),
(16, 'Person 3', 8, '0730000000', 'p3@gmail.com', 'Address 3', 70, '2024-12-18 08:40:01'),
(15, 'Person 2', 5, '0720000000', 'p2@gmail.com', 'Address 2', 25, '2023-05-25 05:29:14'),
(17, 'Person 4', 3, '0740000000', 'p4@gmail.com', 'Address 4', 95, '2023-05-08 23:58:25'),
(16, 'Person 3', 14, '0730000000', 'p3@gmail.com', 'Address 3', 76, '2024-08-10 21:53:51'),
(17, 'Person 4', 5, '0740000000', 'p4@gmail.com', 'Address 4', 65, '2024-10-22 11:26:30'),
(16, 'Person 3', 9, '0730000000', 'p3@gmail.com', 'Address 3', 60, '2023-10-04 11:04:12'),
(14, 'Person 1', 7, '0710000000', 'p1@gmail.com', 'Address 1', 10, '2024-04-17 14:06:07'),
(16, 'Person 3', 13, '0730000000', 'p3@gmail.com', 'Address 3', 28, '2024-02-25 12:23:25'),
(14, 'Person 1', 3, '0710000000', 'p1@gmail.com', 'Address 1', 73, '2023-04-14 01:31:56'),
(17, 'Person 4', 4, '0740000000', 'p4@gmail.com', 'Address 4', 29, '2024-01-19 02:14:56'),
(15, 'Person 2', 2, '0720000000', 'p2@gmail.com', 'Address 2', 27, '2024-06-22 14:22:50'),
(17, 'Person 4', 14, '0740000000', 'p4@gmail.com', 'Address 4', 68, '2024-08-16 14:55:25'),
(14, 'Person 1', 15, '0710000000', 'p1@gmail.com', 'Address 1', 68, '2023-10-03 14:13:46'),
(16, 'Person 3', 6, '0730000000', 'p3@gmail.com', 'Address 3', 81, '2023-05-24 16:23:47'),
(14, 'Person 1', 13, '0710000000', 'p1@gmail.com', 'Address 1', 21, '2024-10-28 04:06:06'),
(14, 'Person 1', 8, '0710000000', 'p1@gmail.com', 'Address 1', 33, '2024-03-13 22:28:32'),
(16, 'Person 3', 12, '0730000000', 'p3@gmail.com', 'Address 3', 87, '2024-07-04 11:59:16'),
(17, 'Person 4', 3, '0740000000', 'p4@gmail.com', 'Address 4', 79, '2024-01-31 01:07:16'),
(15, 'Person 2', 14, '0720000000', 'p2@gmail.com', 'Address 2', 8, '2024-02-15 21:16:30'),
(15, 'Person 2', 12, '0720000000', 'p2@gmail.com', 'Address 2', 30, '2023-10-19 06:39:17'),
(14, 'Person 1', 4, '0710000000', 'p1@gmail.com', 'Address 1', 21, '2024-08-06 19:51:33'),
(14, 'Person 1', 12, '0710000000', 'p1@gmail.com', 'Address 1', 35, '2024-10-25 08:35:56'),
